k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,39.61%,31.86%,6034.18,4853.16,6358.43,True,True,127.0704276561737
2,45.49%,34.870000000000005%,8540.55,5675.59,9082.85,True,True,127.79880714416504
3,52.959999999999994%,38.62%,10362.37,6405.15,11137.63,True,True,128.51325488090515
4,61.160000000000004%,52.71%,11357.09,7748.5,11936.31,True,True,129.2917594909668
5,67.7%,65.14%,12562.43,9807.97,12860.22,True,True,130.0965609550476
6,75.8%,77.75999999999999%,13320.71,10217.98,13502.66,True,True,131.02332496643066
7,75.87%,77.79%,13779.34,10225.21,13987.67,True,True,131.92734456062317
8,79.55%,83.16%,14044.91,8660.37,14219.85,True,True,132.82010579109192
9,79.55%,83.16%,14214.34,8660.37,14407.99,True,True,133.9691722393036
10,79.62%,83.17999999999999%,14361.22,8665.44,14571.39,True,True,134.90165209770203
11,79.62%,83.17999999999999%,14502.37,8665.44,14682.43,True,True,135.89020490646362
12,79.62%,83.17999999999999%,14597.84,8665.44,14769.45,True,True,136.8541088104248
13,79.75999999999999%,83.25%,14674.14,8668.72,14853.62,True,True,137.9416298866272
14,79.75999999999999%,83.25%,14734.36,8668.72,14912.93,True,True,139.16374397277832
15,80.17999999999999%,83.39%,14799.39,8604.14,14989.2,True,True,140.25308895111084
16,80.17999999999999%,83.39%,14824.12,8604.14,15017.96,True,True,141.46443510055542
17,80.46%,83.95%,14855.68,8344.27,15042.02,True,True,142.5839717388153
18,80.46%,83.95%,14871.42,8344.27,15059.77,True,True,143.7940549850464
19,80.46%,83.95%,14880.98,8344.27,15070.31,True,True,145.02510285377502
20,80.46%,83.95%,14894.18,8344.27,15084.32,True,True,146.02708506584167
21,80.46%,83.95%,14900.7,8344.27,15091.41,True,True,147.26486563682556
22,80.46%,83.95%,14905.23,8344.27,15094.22,True,True,148.41249060630798
23,80.46%,83.95%,14909.23,8344.27,15098.42,True,True,149.61623239517212
24,80.46%,83.95%,14910.13,8344.27,15099.28,True,True,150.93844294548035
25,80.46%,83.95%,14913.44,8344.27,15102.17,True,True,151.97355127334595
26,80.46%,83.95%,14914.11,8344.27,15102.79,True,True,153.07234454154968
27,80.46%,83.95%,14914.59,8344.27,15103.35,True,True,154.24959588050842
